id,public_petition_text,reason_category
3097264,На 20-м этаже 6-й парадной в лифтовым холле скол напольной плитки.,Содержание МКД
3305658,Очистить,Благоустройство
3116087,неудовлетворительное состояние покрытия,Благоустройство
3020505,"Неудовлетворительное состояние парадной. Потрескалась штукатурка, облезла краска. Входной холл.",Содержание МКД
3299258,"В доме регулярно отключают горячую воду, без предупреждения (подчеркиваю) на протяжении довольно длительного периода (более 3 месяцев) 

Отключения происходят в будние дни в период с 13/14-00 до 17/18-00",Водоснабжение
3018034,Листва на газоне,Благоустройство
3292952,реклама на опоре освещёния,Благоустройство
3365469,мешки с собранным мусором у школы 625,Благоустройство
3271007,разбитая машина без фар,Благоустройство
3271696,требуется уборка подъезда,Содержание МКД
3304994,"Санкт-Петербург, ул. Ярослава Гашека, д. 30/5, подъезд 5. Несанкционированное размещение объявлений на двери. Порча общедомового имущества МКД. Все объявления должны размещатся на информационных стендах.",Содержание МКД
3318084,"Улица Халтурина, рядом с пешеходным переходом, напротив дома 1 большая яма.",Благоустройство
3153853,мусор вне контейнера,Содержание МКД
3091430,не вывозят мусор,Содержание МКД
3076924,"Очистить столб от рекламы, не оставляя следов бумаги и клея.",Благоустройство
3066102,Просьба покрасить почтовые ящики,Содержание МКД
3142881,"В первой,центральной,парадной жилого дома по адресу : Гражданский проспект дом 27, корпус 1, литера А, в центре общеквартирного коридора ШЕСТОГО этажа этой парадной,в районе лифтовой площадки, - незаконно хранятся две старые,грязные, кем-то выкинутые деревянные двери.Прошу их убрать.",Содержание МКД
3124293,"На первом этаже, разбитое стекло в двери со стороны двора, прошу заменить. спасибо",Содержание МКД
3226768,Решетка,Нарушение правил пользования общим имуществом
3281369,"Добрый день. В нашем доме Архивная 9 к1 4 пар систематически не работает домофон. Неоднократно обращались в УК, лично к ген директору УК Эталон сервис. Ремонтируют привентивно. Просьба вмешаться в доме много людей с грудными детьми вынуждены подниматься по лесничестнице чтобы попасть домой.",Содержание МКД
2991804,"На детской площадке сломана дуга, удерживающая веревочную сетку, по которой дети залезают на горку. Во время использования веревочной сетки вся конструкция сильно качается и в любой момент может упасть.",Благоустройство
3172183,"Придорожная 21, 17 парадная, 6 этаж. Требую привести кабель-канал и защитные крышки в надлежащее состояние.",Содержание МКД
3292318,С 12.03.21 не вывозиться строительный мусор с территории двора!,Благоустройство
3008463,"Экскрименты на лестнице . 
Необходимо убрать и продизенфицировать.",Содержание МКД
2972093,Не горит фонарь,Благоустройство
3254955,Открыт люк,Повреждения или неисправность элементов уличной инфраструктуры
3099412,"снег не убран с проезжей части, тротуара",Благоустройство
3208242,"В парадной 9 по адресу: СПб ,улица Лиственная дом 18 корпус 1 уже более полу года на общей лестничной клетке между 13 и 14 этажами лежит строительный мусор ,который никто не убирает.",Содержание МКД
3300460,"Парадная 4.
В ужасном состоянии внутренняя покраска стен, краска отваливается, кусками закрашены отдельные участники стены, подтёки на стенах. 
Требуется провести косметический ремонт с полной покраской стен.",Содержание МКД
3243895,Яма на асфальте.,Благоустройство
3193714,Не санкционированное размещение наружных блоков кондиционеров. Портит фасад дома. Убрать.,Нарушение правил пользования общим имуществом
3352230,Очистить дорожные знаки от самоклея.,Благоустройство
3161747,мусор,Благоустройство
3310979,Надписи на киоске напротив дома Колпино пр Ленина 27 (напротив аптеки ЛекоптТорг).,Благоустройство
3363335,"Пожалуйста, восстановите асфальт у второго подъезда. Адрес : улица Крюкова, д.15",Благоустройство
3370016,Граффити,Благоустройство
3051489,"Самовольная установка конструкции, препятствующая парковке автотранспорта на дворовой территории у фасада со стороны Щербакова пер. на оформленном в общедолевую собственность земельном участке. Данный факт расцениваю как самозахват территории и прошу демонтировать конструкцию, обеспечив исполнение управляющей организацией дома письма-предписания Администрации Центрального района (по ряду «рамок» (некоторых) в данном дворе дома). Из истории: с некоторых рамок после моих обращений сняты привычные замки, однако сами конструкции продолжают существовать и замки на них скорее всего появятся в ближайшее время. На уровне «собственников» и управляющей организации данный вопрос не решается!",Благоустройство
3309840,сквер/внутридворовая территория завален мусором,Благоустройство
3290277,лужа на пешеходном переходе,Благоустройство
3041452,"Неудовлетворительное состояние фасада дома.
Прошу произвести капитальный ремонт фасада жилого дома.",Фасад
3373800,Необходимо покрасить скамейку возле 4 парадной,Благоустройство
3027720,Не работает лифт два дня. Под. №6,Содержание МКД
3303757,"Сильно загрязнена территория вокруг дома. 
Территории на газонах и у дома не убираются.",Благоустройство
3048586,"яма на проезжей части, превышающая п.п. 3.1.1, 3.1.2 ГОСТ Р 50597-93",Благоустройство
3147261,не очищен снег и гололед,Благоустройство
3338803,"Парковка машин на газоне, прошу поставить ограждения",Благоустройство
3285464,Графити со стороны 1 парадной!,Благоустройство
2978132,"Нет света  в подъезде N6 на 6 этаже. Каждый раз вкручивают новую лампу, но  ее не хватает даже на месяц. Необходимо разобраться в причине, почему так часто перегорает лампа.",Содержание МКД
3376240,"С фасада отвалилась почти облицовочная панель или плитка, что угрожает безопасности людей",Фасад
3351159,Прошу закрасить фасад гаража,Благоустройство
3160950,"В парадной  не горит освещение. Обращение к председателю ЖСК ""Светлановец"" не помогает.
СПб ул. Гаврская д.11 3 парадная, у кв.149 1 этаж.
Прошу принять меры. Ко всему прочему используются ртуть содержащие лампы.",Содержание МКД
3014181,"мусор на газоне, бутылки, бумага",Благоустройство
3344732,отмыть стёкла парадной номер 2.,Содержание МКД
3178955,Прошу очистить знак от рекламы,Благоустройство
3136557,"гниёт фасад.
нужно штукатуривание и покраска.",Фасад
3298497,газонное ограждение необходимо отремонтировать,Благоустройство
3074313,"Перекошена труба, установлена не по нормативам.",Кровля
3210115,1 парадная на 15 этаже не работает освещение,Содержание МКД
3306485,Оборудование детской площадки требует ремонта,Благоустройство
3000416,Просадка вокруг колодца,Повреждения или неисправность элементов уличной инфраструктуры
3055492,На трансформаторную пожстанцию нанесены надписи,Благоустройство
3349510,"Позорище. Горы мусора. Свалка, а не придомовая территория",Благоустройство
3116272,граффити,Благоустройство
3051203,"Ранее работы по устранению проблемы слабого напора холодной воды были устранены  некачественно, так как эффект был временный. Проблема вернулась, так как  замена труб ХВС была произведена не по всему стояку, а лишь частично. Невозможно разбавить горячую воду! Из-за перепадов и слабого напора приходится набирать воду в ведро для того чтобы помыться и не обжечь тело! Вода течет тонкой струей, даже посуду проблемно помыть!",Водоснабжение
3316992,"Мусор на внутридворовой территории ул.Крупской,27",Благоустройство
3237983,Как здесь ходить?,Благоустройство
3219474,"Здравствуйте,  ужасное состояние парадной",Содержание МКД
3355460,"Ограждение газона сильно заржавело, необходима покраска.",Благоустройство
3028810,Возможность падения опоры уличного освещения (фонарного столба),Благоустройство
3245035,"Добрый день. Протечки в паркинге, улица Адмирала Трибуца дом 5, нижний уровень, около входа в 6-ую парадную. Фото сделаны 01.03.2021 и 02.03.2021.

Проблема актуальна, каждый год по весне, либо во время сильных осадков. По обращению в офис управляющей компании 01.03.2021 мне сообщили, что проблема решается с помощью уборочной машинки (которая сейчас на ремонте). Также 01.03.2021 в УК сообщили, что избавятся от протечки, но 02.03.2021 проблема актуальна. 02.03.2021 в УК ответили, что вода появилась снова, уже после уборки.

Прошу более основательного решения проблемы. Спасибо.",Кровля
3343110,Проезжая часть и дорога во дворе очень грязные. Уборка производится неудовлетворительно. До сих пор на асфальте остатки песчаной смеси которую рассыпают зимой. Сейчас середина апреля. Прошу провести уборку и отмыть дорогу во дворе от песка и грязи.,Благоустройство
3149937,Роллет,Нарушение правил пользования общим имуществом
3154345,мусор возле контейнерной площадкой,Благоустройство
2988709,СПб ул Шаврова25 кор 1 . 2-ая парадная. Отсутствует защитный плафон на лампе освещения 16 этаж,Содержание МКД
3211448,На ТСОДД длительное время размещено несанкционированное рекламное объявление...,Благоустройство
3334482,Рекламный щит весь исписан.,Состояние рекламных или информационных конструкций
3037956,Растрескивание отделочного материала в квартирном холле.12 этаж,Содержание МКД
3313504,песок,Благоустройство
3083154,"Добрый день, недавно во дворе дома по адресу Гражданский проспект 36 производились работы по ремонту дороги и      благоустройству придомовой территории .
В том числе были приведены и восстановлены газоны на территории прилегающей к детской площадке, а также пустыре, находящимся за электрической подстанцией. В том числе были закрыты дверные и оконные проемы на заброшенном строении, в котором была попытка организации свалки мусора. Для предотвращения парковки автотранспорта на восстановленном газоне были установлены ограничители, полусферы.
На данный момент сферы отсутствуют и на газоне осуществляется парковка автотранспорта! Весь газон превратился в разъезженную дорогу! Прошу Вас дать разъяснение, почему благоустроенная территория опять превратилась в отстойник автомобилей?",Благоустройство
3098014,неубранный снег на тротуаре,Благоустройство
3074167,"неубранный снег. скользко, требуется посыпка",Благоустройство
3272020,"Уборка не производится больше месяца, только проставляются дни",Содержание МКД
3319580,Не светит,Содержание МКД
3256479,"Надпись похожая на свастику фашистскую, со двора напротив детской площадки.",Благоустройство
3230647,Во дворе снег не убран. Теперь еще - гололед и лужи.,Благоустройство
3225015,Незаконная реклама на фасаде здания,Благоустройство
3132113,Надписи на будке.,Благоустройство
3076405,Решетка,Нарушение правил пользования общим имуществом
3098834,Подъезд 5 у мусоропровода между 8 и 9 этажами отсутствует освещение. Фото прилагаются!,Содержание МКД
3106341,просьба закрасить/смыть граффити в парадной,Содержание МКД
2991943,"1й подъезд, крайний левый лифт. Неисправно освещение, не работает один из светильников, второй светит еле еле.
Председатель тсж ""Ленинградские Вечера"" отказывается принимать заявку на устранение более полугода.
При этом ежегодно на содержание общего имущества дома тратится 6 млн рублей, на текущий ремонт общего имущества дома тратится 6 млн рублей, а на содержание председателя и его окружения - 2 млн рублей!",Содержание МКД
3300382,Нет шланга на 1 этаже в парадной № 16. Сотрудники Строителя перекладывают оборудование из одного ящика в другой каждый раз.,Содержание МКД
3004245,Граффити,Благоустройство
3281070,уберите,Благоустройство
3201677,Из-за неисправного домофона появились несанкционированные надписи на подъездной стене 1 этажа. Доска объявлений не прикручена к стене.,Содержание МКД
3187838,Реклама в пассажирском лифте в 4 подъезде.,Нарушение порядка пользования общим имуществом
3158741,неудовлетворительное состояние покрытия,Благоустройство
3067372,объявление,Благоустройство
3338182,Имеется просадка грунта,Повреждения или неисправность элементов уличной инфраструктуры
3217748,"лестницу выше первого этажа не убирают никогда, жильцы пытаются подметать сами. график висит, но не соблюдается",Содержание МКД
3303170,"повреждена водосточная труба, у 4-го подъезда",Кровля
3027776,"Незаконная вывеска/рекламная конструкция по адресу: Санкт-Петербург, Митрофаньевское ш., д. 36 (установка 1 - сверху).",Незаконная информационная и (или) рекламная конструкция
2990954,Просаливается плитка в арке многоквартирного дома,Повреждения или неисправность элементов уличной инфраструктуры
3074845,"Проблема находится о адресу: спб, Пушкин, ул Ленинградская 67, парадная 4. Проблемы с фиксатором-магнитом, не до конца закрывается дверь, образуется конденсат на обратной стороне. 
Прошу устранить. Спасибо",Содержание МКД
3311275,"территория двора в ужасном состоянии, проход людей по двору возможен только по проезжей части вдоль всего дома. В данный момент времени на конец марта 2021 года во дворе огромные лужи и если едут машины по двору, в ту людям деться некуда. асфальтовое покрытие двора не ремонтировалась много десятков лет",Благоустройство
2966900,Отсутствует крышка технического люка на опоре освещения,Благоустройство
3360542,Прошу удалить граффити на стене,Благоустройство
3012096,Мешки с мусором лежат больше года !,Благоустройство
3097458,"3 пар . 2эт . Стеклопакет не закреплен надлежащим образом . Требуется
установить крепежную планку стекла .",Содержание МКД
3265159,"бытовой мусор под кустами вдоль забора строительной площадки
просьба убрать",Благоустройство
3110303,Бумажные объявления на опоре,Благоустройство
3154570,Бетонные кольца под пандусом.,Благоустройство
3176274,Решетка на первом этаже у помойки,Нарушение правил пользования общим имуществом
3351744,надписи,Состояние рекламных или информационных конструкций
3195595,"12 секция, -1 этаж. Не закрывается до конца дверь. Неисправность в доводчике, который не может помочь двери закрыться при сквозняке.",Содержание МКД
3351907,В тамбуре первого этажа на полу лежат собачьи экскременты. Прошу выполнить уборку.,Содержание МКД
3011498,объявления на знаках,Благоустройство
3139942,"Очистить дорожный знак от самоклеящейся рекламы, не оставляя следов бумаги и клея.",Благоустройство
3005563,"На фото указано, что этаж 1.
Не устранено. Во вложении фото, сделанное 10 минут назад.",Содержание МКД
2999444,"мусор, не убираются",Содержание МКД
3246253,"Добрый день!

Прошу устранить надпись на углу дома. Заранее благодарен.",Благоустройство
3104724,Мусор,Благоустройство
3320641,отсутствует качель на детской площадке.необходимо восстановить.,Благоустройство
3046447,Несанкционированные надписи на сооружении.,Благоустройство
3292679,Просьба привести павильон в надлежащий вид,Благоустройство
3029975,Объявления,Благоустройство
2949246,граффити на киоске,Благоустройство
3149344,"Неудовлетворительная уборка в параднойгрязь, лужи на первом этаже.",Содержание МКД
3057926,Кучи мусора на газоне вокруг трансформаторной подстанции,Благоустройство
3154582,"Требуется произвести работы по качественной очистке остановочного павильона от несанкционированного рекламного объявления, не оставляя следов. 

Фотофиксация прилагается.",Благоустройство
3159991,"Неудовлетворительное состояние лифтов (пассажирский и грузовой) в первой парадной, все стены обцарапаны, разрисованы.",Содержание МКД
3087682,плохо убранный снег с краю проезжей части,Благоустройство
2948825,Контейнер расположен за пределами контейнерной площадки. Нарушение РАСПОРЯЖЕНИЕ КОМИТЕТ ПО БЛАГОУСТРОЙСТВУ САНКТ-ПЕТЕРБУРГА от 30 ноября 2018 года N 410-р Об утверждении Порядка накопления твердых коммунальных отходов (в том числе их раздельного накопления) на территории Санкт-Петербурга п.2.6. В целях обеспечения надлежащего накопления твердых коммунальных отходов запрещено: - выставлять контейнеры за пределы контейнерной площадки ранее одного часа до прибытия мусоровоза; - устанавливать контейнеры и бункеры за пределами контейнерных площадок;,Благоустройство
3092901,неубранный снег на дороге,Благоустройство
2952804,Рисунок на стене.,Благоустройство
3124656,в западной части дома деформирована/разрушена водосточная труба. украдена нижняя секция с отливом,Кровля
3281019,Ямы аварийное состояние,Благоустройство
3041669,Надписи на заборе.,Благоустройство
3034509,"Первый этаж, чёрная лестница входная дверь не удовлетворительном состоянии , первая парадная￼",Содержание МКД
3076086,"Необходимо снять с дерева мусор (рваная одежда, тряпки), сброшенный кем-то из жильцов с балконов: на дереве перед входом в парадную № 8 жилого дома по адресу пр. Науки 44 в Калининском районе Санкт-Петербурга.",Благоустройство
3038247,прошу убрать надписи,Благоустройство
3164472,"машина привозит в продуктовый магазин товар и заезжает на тротуар, пешеходную зону, блокируя проход. шум под окнами жилого дома. прошу поставить преграду со стороны двора, где первый подъезд дома 1/9, ул. Шостаковича. магазин 2 шага.",Благоустройство
3049048,"Пожалуйста уберите старые шпалы и щиты из досок,которые валяются на канаве у дороги на улице Овражная напротив дома 24 к.1,мешающие чистке канавы.И со стороны улицы Сосновая такие же  шпалы валяются.",Благоустройство
3093589,"Здравствуйте, разрисованы двери лифта, внутри и снаружи.Подъезд 3-й.",Содержание МКД
3287820,Упавшее дерево,Благоустройство
3147395,Несанкционированные объявления на опоре освещения,Благоустройство
3167808,"Надписи на коробе электрощитка. Фотофиксация- 25.01.2021г., 20:26.",Благоустройство
2996650,Необходимо удалить несанкционированные рисунки на втором этаже второго подъезда.,Содержание МКД
3339641,Мусор.,Благоустройство
3134726,Реклама на будке.,Благоустройство
3123201,"Утрата жизнеспособности, декоративной ценности зеленых насаждений.",Благоустройство
3159355,"Передача общего имущества (части лестничного холла) всех собственников МКД в незаконное пользование  собственникам кв.
XXX
. Имеется судебный акт об отмене всех решений ОСС, включая о передаче в пользование части общего имущества.",Нарушение порядка пользования общим имуществом
3249350,мусор,Благоустройство
2974287,"По адресу: Вознесенский пр. д. 18, входной двери на лестничной клетке №2 

Просьба покрасить дверную ручку в цвет двери",Содержание МКД
3285364,"Провал асфальтового покрытия (вследствие чего образуются лужи), образовалась трещина в покрытии. Просьба восстановить.",Благоустройство
2967878,Маляр не попадает в цвет,Фасад
3046564,Мусор грязь,Благоустройство
2980326,Яма в асфальте со стороны 1 парадной и садиком .,Благоустройство
2987461,Граффити на заборе,Благоустройство
3315070,Вандальные надписи на фасаде дома 11 по ул. Чебышевская.,Благоустройство
3118755,"Ремонт в парадной по адресу: Московский проспект, дом 173, лестница № 2 не проводился около 20 лет. Жильцы парадной неоднократно писали обращения  о необходимости проведение косметического ремонта в ООО ""Жилкомсервис № 3 Московского района"". Обещанные сроки ремонта постоянно переносились.  Согласно письма ООО ЖКС №3 от 30.11.19г. № 1073/2 (письмо прилагается) косметический ремонт парадной был включен в план по текущему ремонту на 2020 год. По состоянию на 05.01.2021г. ремонт не произведен! Состояние парадной требует косметического ремонта: ободранная краска, сколы на стенах, с потолка свисает штукатурка, по всей лестнице в хаотичном порядке висит электропроводка. Прошу обязать ООО ""Жилкомсервис № 3 Московского района"" сделать косметический ремонт в парадной, спрятать в специальные короба электропроводку, закрыть электрощитки, утеплить входную дверь в парадную.",Содержание МКД
3321118,Объявления на доме,Благоустройство
3204070,"На стене дома 5,Литера А,по улице Курская,обнаружена несанкционированая надпись. Просьба устранить проблему.",Благоустройство
3111768,не убран снег на дороге,Благоустройство
3298062,Прошу проверить и восстановить систему освещения МОП 4 парадной.,Содержание МКД
3352757,"Не осуществляется уборка в подъезде и лифтовых кабин. УК, последний раз произвела уборку подъезда 05.04.2021. 
Уборка (влажная и сухая) выше 2-го этажа не проводилась со 29 марта.",Содержание МКД
3315249,"Требуется эвакуация разукомплектованного транспортного средства, находящегося между жилыми многоквартирными домами 18 и 20 по адресу: г. Санкт-Петербург, п. Парголово, ул. Федора Абрамова (напротив магазина Магнит Косметик), которое препятствует осуществлению мероприятий по содержанию объектов благоустройства, а также создает помехи для подъезда спецтранспорта и муровозов.

Одновременно с этим, наличие брошенного разукомплектованного транспортного средства в непосредственной близости МКД создает повышенные риски умышленного поджога и использования в противозаконных действиях против граждан.

У транспортного средства отсутствуют замки дверей кузова и кабины, пробка топливного бака), а также разбиты внешние световые приборы и прогнили насквозь все элементы кузова по всему периметру.",Благоустройство
3159596,надписи на доме,Благоустройство
3082734,"неубранный снег, требуется посыпка",Благоустройство
3290263,"Добрый день 
Прошу очистить от граффити 
Заранее благодарю Вас!",Благоустройство
3052072,не горит,Благоустройство
3136514,объявление,Благоустройство
2994766,Необходимо восстановить окраску фасада в едином колерном бланке,Фасад
3140933,снег на дороге,Благоустройство
3005733,Вода течет холодная уже два месяца,Водоснабжение
3046985,"Восстановить энергосберегающее освещение на лестничном марше 4 этажа.
В ответе исполнителя фото не с той стороны. Энергосберегающая лампа на 4 этаже в конце коридора не установлена, запрос из первичного сообщения заявителя не выполнен, очень темно в конце коридора.",Содержание МКД
3056196,мусор на дороге,Благоустройство
3320376,Необходим ремонт гаража,Благоустройство
3073618,Нарушена пожарная безопасность отсутствуют пожарные рукава на этаже. 8 этаж. 3 парадной.,Содержание МКД
3169936,"На фасаде дома Гражданская ул., 11 торчат провода!
Опасно и некрасиво!",Благоустройство
3081630,Не горит фонарь,Благоустройство
3272168,"Грязный лифт. Регулярная уборка по прежнему отсутствует. Прошу наладить регулярность уборки, а не только по обращению.",Содержание МКД
2949143,Незаконные надписи на павильоне. Нужно очистить.,Благоустройство
3194475,Антенна,Нарушение правил пользования общим имуществом
3122701,"Сломана входная металлическая дверь, сварочные швы расходятся дверь расслаивается, нужно восстановить заварить и покрасить (10 парадная)",Содержание МКД
3133887,"Поставить вторую створку тамбурной двери. Смысл двери теряется, так как очень сильно продувает.",Содержание МКД
3371149,"В сданном доме нет горячей воды. Не справляется насос.
ЖК Полис на Комендантском, 11 секция. Адрес: ул. Плесецкая 10, стр.1",Водоснабжение
3114906,Надписи на стенах.,Благоустройство
3371383,Песок вдоль дома на придомовой территории. Требуется ручная уборка непосредственно у стен дома и у вазонов,Благоустройство
3021717,"Листья на проезжей части. 
Требуется произвести механизированную и ручную уборки. 

Фотофиксация прилагается.",Благоустройство
3113956,"Лужи на твёрдом покрытии. После дождя или таяния снега невозможно пройти с коляской!!! Прошу решить проблему.
Прошу решить проблему, проблема не решена! Вода скапливается постоянно после дождей и таяния снега и не даёт возможности пройти с коляской, с детьми, пожилым людям. Фотографии сделаны 24..01.2021.!!!!Отсутсвует правильный наклон асфальтового покрытия, позволяющей обеспечить целевое использование данного участка пешеходной дороги. Подготовленные ответ - похож на отписку, и нежелание решить указанную проблему.",Благоустройство
2986359,"Просим провести уборку подъезда. Уборка не проводилась с августа 2020. Адрес: Литейный проспект, дом 25, квартира 36.",Содержание МКД
3073174,Просьба проверить кондиционеры,Нарушение правил пользования общим имуществом
