Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],NC2.5,Fire Alarm,IsItDay?,Weekday_0,Weekday_1,Weekday_2
26.805,51.51,38.0,400.0,13061.0,19933,939.727,0.013,0,0,0,0,1
26.802,52.03,33.0,400.0,13064.0,19943,939.722,0.013,0,0,0,0,1
26.799,52.46,20.0,400.0,13061.0,19943,939.723,0.013,0,0,0,0,1
26.797,52.88,22.0,400.0,13068.0,19947,939.714,0.013,0,0,0,0,1
26.794,53.22,33.0,400.0,13070.0,19942,939.713,0.013,0,0,0,0,1
26.791,53.53,24.0,400.0,13068.0,19954,939.71,0.013,0,0,0,0,1
26.789,53.98,26.0,400.0,13066.0,19940,939.71,0.012,0,0,0,0,1
26.786,54.21,30.0,400.0,13058.0,19936,939.703,0.012,0,0,0,0,1
26.783,54.4,29.0,400.0,13071.0,19941,939.707,0.012,0,0,0,0,1
26.781,54.58,16.0,400.0,13069.0,19941,939.696,0.011,0,0,0,0,1
26.778,54.74,23.0,400.0,13068.0,19946,939.698,0.011,0,0,0,0,1
26.716,51.06,0.0,400.0,13093.0,19981,939.723,0.011,0,0,0,0,1
26.713,50.8,4.0,400.0,13095.0,19974,939.724,0.011,0,0,0,0,1
26.71,50.57,0.0,400.0,13098.0,19984,939.718,0.012,0,0,0,0,1
26.707,50.36,0.0,400.0,13093.0,19984,939.713,0.012,0,0,0,0,1
26.704,50.2,0.0,400.0,13103.0,19981,939.717,0.012,0,0,0,0,1
26.701,50.04,5.0,400.0,13097.0,19983,939.719,0.012,0,0,0,0,1
26.698,49.91,1.0,400.0,13104.0,19984,939.717,0.011,0,0,0,0,1
26.695,49.77,0.0,400.0,13105.0,19988,939.719,0.011,0,0,0,0,1
26.692,49.67,1.0,400.0,13098.0,19980,939.726,0.011,0,0,0,0,1
26.689,49.58,0.0,400.0,13103.0,19983,939.712,0.011,0,0,0,0,1
26.686,49.51,0.0,400.0,13102.0,19984,939.704,0.011,0,0,0,0,1
26.683000000000003,49.41,0.0,400.0,13100.0,19983,939.706,0.011,0,0,0,0,1
26.68,49.35,0.0,400.0,13098.0,19986,939.708,0.011,0,0,0,0,1
26.674,49.24,0.0,400.0,13107.0,19997,939.721,0.012,0,0,0,0,1
26.671,49.2,0.0,400.0,13100.0,19992,939.718,0.012,0,0,0,0,1
26.668000000000003,49.13,0.0,400.0,13100.0,19992,939.715,0.012,0,0,0,0,1
26.665,49.07,0.0,400.0,13102.0,19993,939.727,0.012,0,0,0,0,1
26.658,48.96,0.0,400.0,13099.0,19992,939.72,0.012,0,0,0,0,1
26.655,48.8,15.0,400.0,13082.0,19972,939.711,0.012,0,0,0,0,1
26.652,49.19,21.0,400.0,13073.0,19965,939.706,0.012,0,0,0,0,1
26.649,49.86,29.0,400.0,13074.0,19958,939.706,0.012,0,0,0,0,1
26.646,51.17,20.0,400.0,13079.0,19969,939.724,0.012,0,0,0,0,1
26.643,51.71,13.0,400.0,13086.0,19975,939.724,0.012,0,0,0,0,1
26.64,52.22,11.0,400.0,13092.0,19979,939.723,0.012,0,0,0,0,1
26.636,52.68,13.0,400.0,13086.0,19972,939.717,0.012,0,0,0,0,1
26.633000000000003,53.06,12.0,400.0,13093.0,19981,939.716,0.012,0,0,0,0,1
26.63,53.43,10.0,400.0,13089.0,19980,939.709,0.012,0,0,0,0,1
26.627,53.75,3.0,400.0,13100.0,19985,939.712,0.012,0,0,0,0,1
26.623,54.08,1.0,400.0,13094.0,19992,939.734,0.012,0,0,0,0,1
26.62,54.33,0.0,400.0,13102.0,19991,939.728,0.012,0,0,0,0,1
26.617,54.56,0.0,400.0,13100.0,19997,939.726,0.013,0,0,0,0,1
26.614,54.8,0.0,400.0,13093.0,19987,939.725,0.013,0,0,0,0,1
26.61,55.0,0.0,400.0,13095.0,19992,939.718,0.013,0,0,0,0,1
26.607,55.16,0.0,400.0,13100.0,19998,939.717,0.0139999999999999,0,0,0,0,1
26.604,55.33,0.0,400.0,13103.0,20000,939.71,0.015,0,0,0,0,1
26.601,55.45,7.0,400.0,13096.0,19990,939.711,0.015,0,0,0,0,1
26.597,55.62,10.0,400.0,13096.0,19990,939.713,0.016,0,0,0,0,1
26.594,55.73,0.0,400.0,13102.0,19999,939.717,0.016,0,0,0,0,1
26.591,55.88,0.0,400.0,13096.0,19999,939.704,0.015,0,0,0,0,1
26.587,55.95,0.0,400.0,13100.0,19994,939.701,0.015,0,0,0,0,1
26.584,56.06,1.0,400.0,13099.0,19993,939.706,0.015,0,0,0,0,1
26.581,56.16,0.0,400.0,13094.0,19989,939.706,0.015,0,0,0,0,1
26.577,56.23,1.0,400.0,13095.0,19993,939.719,0.015,0,0,0,0,1
26.574,56.26,0.0,400.0,13095.0,19997,939.718,0.015,0,0,0,0,1
26.571,56.36,0.0,400.0,13092.0,19994,939.726,0.015,0,0,0,0,1
26.567,56.43,1.0,400.0,13091.0,19997,939.721,0.015,0,0,0,0,1
26.564,56.46,0.0,400.0,13097.0,20000,939.727,0.015,0,0,0,0,1
26.56,56.66,0.0,400.0,13112.0,20016,939.715,0.015,0,0,0,0,1
26.557,56.22,0.0,400.0,13115.0,20027,939.705,0.015,0,0,0,0,1
26.553,55.49,0.0,400.0,13119.0,20022,939.702,0.0139999999999999,0,0,0,0,1
26.55,54.7,0.0,400.0,13112.0,20018,939.707,0.0139999999999999,0,0,0,0,1
26.547,54.0,0.0,400.0,13111.0,20016,939.708,0.013,0,0,0,0,1
26.543000000000003,53.37,0.0,400.0,13116.0,20017,939.711,0.012,0,0,0,0,1
26.54,52.83,0.0,400.0,13114.0,20009,939.7,0.011,0,0,0,0,1
26.536,52.35,0.0,400.0,13116.0,20016,939.691,0.011,0,0,0,0,1
26.475,49.16,11.0,400.0,13098.0,20007,939.711,0.011,0,0,0,0,1
26.472,49.11,16.0,400.0,13098.0,19999,939.706,0.011,0,0,0,0,1
26.468000000000004,49.04,10.0,400.0,13098.0,19997,939.717,0.012,0,0,0,0,1
26.464,49.0,6.0,400.0,13105.0,20005,939.724,0.012,0,0,0,0,1
26.461,48.93,0.0,400.0,13104.0,20010,939.723,0.013,0,0,0,0,1
26.457,48.76,30.0,400.0,13083.0,19983,939.716,0.013,0,0,0,0,1
26.453000000000003,49.16,46.0,400.0,13074.0,19966,939.713,0.013,0,0,0,0,1
26.45,49.8,40.0,400.0,13077.0,19971,939.713,0.013,0,0,0,0,1
26.446,50.52,43.0,400.0,13075.0,19968,939.702,0.012,0,0,0,0,1
26.442,51.19,37.0,400.0,13082.0,19972,939.704,0.013,0,0,0,0,1
26.438,51.75,30.0,400.0,13083.0,19979,939.701,0.012,0,0,0,0,1
26.435,52.24,43.0,400.0,13081.0,19969,939.693,0.012,0,0,0,0,1
26.431,52.69,37.0,400.0,13081.0,19975,939.707,0.012,0,0,0,0,1
26.427,53.07,32.0,400.0,13084.0,19978,939.694,0.012,0,0,0,0,1
26.423,53.66,32.0,400.0,13088.0,19979,939.697,0.011,0,0,0,0,1
26.42,53.98,32.0,400.0,13084.0,19977,939.694,0.011,0,0,0,0,1
26.416,54.22,30.0,400.0,13092.0,19982,939.684,0.012,0,0,0,0,1
26.412,54.44,26.0,400.0,13090.0,19974,939.673,0.012,0,0,0,0,1
26.408,54.61,36.0,400.0,13092.0,19975,939.672,0.012,0,0,0,0,1
26.404,54.76,30.0,400.0,13092.0,19982,939.69,0.012,0,0,0,0,1
26.4,54.92,32.0,400.0,13089.0,19982,939.693,0.013,0,0,0,0,1
26.397,55.07,22.0,400.0,13093.0,19992,939.691,0.0139999999999999,0,0,0,0,1
26.393,55.19,29.0,400.0,13090.0,19983,939.675,0.0139999999999999,0,0,0,0,1
26.389,55.31,30.0,400.0,13093.0,19974,939.679,0.018,0,0,0,0,1
26.385,55.39,20.0,400.0,13101.0,19987,939.672,0.019,0,0,0,0,1
26.381,55.53,31.0,400.0,13092.0,19977,939.676,0.021,0,0,0,0,1
26.377,55.63,22.0,400.0,13097.0,19984,939.68,0.021,0,0,0,0,1
26.373,55.69,27.0,400.0,13092.0,19986,939.665,0.021,0,0,0,0,1
26.369,55.77,23.0,400.0,13092.0,19981,939.664,0.022,0,0,0,0,1
26.366,55.88,22.0,400.0,13091.0,19988,939.681,0.022,0,0,0,0,1
26.362,55.94,20.0,400.0,13098.0,19989,939.682,0.023,0,0,0,0,1
26.358,56.06,20.0,400.0,13093.0,19982,939.679,0.023,0,0,0,0,1
26.354,56.12,20.0,400.0,13098.0,19992,939.668,0.022,0,0,0,0,1
26.35,56.17,20.0,400.0,13089.0,19989,939.658,0.021,0,0,0,0,1
26.346,56.4,0.0,400.0,13110.0,20020,939.661,0.021,0,0,0,0,1
26.342,55.91,0.0,400.0,13116.0,20008,939.672,0.021,0,0,0,0,1
26.338,55.22,0.0,400.0,13120.0,20023,939.683,0.02,0,0,0,0,1
26.33,53.78,0.0,400.0,13119.0,20018,939.683,0.02,0,0,0,0,1
26.326,53.16,1.0,400.0,13109.0,20005,939.687,0.019,0,0,0,0,1
26.322,52.63,2.0,400.0,13109.0,20007,939.681,0.019,0,0,0,0,1
26.318,52.1,2.0,400.0,13104.0,20002,939.678,0.019,0,0,0,0,1
26.314,51.79,4.0,400.0,13112.0,20006,939.686,0.018,0,0,0,0,1
26.31,51.39,6.0,400.0,13109.0,20009,939.696,0.017,0,0,0,0,1
26.305,51.1,5.0,400.0,13106.0,20000,939.697,0.017,0,0,0,0,1
26.301,50.76,6.0,400.0,13113.0,20012,939.697,0.016,0,0,0,0,1
26.297,50.51,12.0,400.0,13106.0,20005,939.697,0.016,0,0,0,0,1
26.293000000000003,50.3,10.0,400.0,13106.0,20002,939.694,0.016,0,0,0,0,1
26.289,50.1,10.0,400.0,13105.0,20001,939.695,0.016,0,0,0,0,1
26.285,49.94,13.0,400.0,13109.0,20004,939.687,0.016,0,0,0,0,1
26.281,49.78,13.0,400.0,13104.0,19997,939.689,0.016,0,0,0,0,1
26.277,49.66,8.0,400.0,13104.0,20006,939.682,0.015,0,0,0,0,1
26.273000000000003,49.56,6.0,400.0,13105.0,19998,939.691,0.015,0,0,0,0,1
26.268,49.45,14.0,400.0,13103.0,20006,939.699,0.015,0,0,0,0,1
26.264,49.37,4.0,400.0,13098.0,20000,939.696,0.0139999999999999,0,0,0,0,1
26.26,49.3,15.0,400.0,13105.0,19999,939.682,0.0139999999999999,0,0,0,0,1
26.256,49.16,16.0,400.0,13094.0,19989,939.684,0.0139999999999999,0,0,0,0,1
26.252,49.03,9.0,400.0,13103.0,19998,939.691,0.0139999999999999,0,0,0,0,1
26.248,48.98,16.0,400.0,13096.0,19987,939.694,0.013,0,0,0,0,1
26.243,48.92,29.0,400.0,13098.0,19994,939.701,0.013,0,0,0,0,1
26.239,48.88,10.0,400.0,13101.0,20002,939.717,0.0139999999999999,0,0,0,0,1
26.235,48.84,11.0,400.0,13104.0,19998,939.718,0.0139999999999999,0,0,0,0,1
26.231,48.73,10.0,400.0,13105.0,19998,939.71,0.0139999999999999,0,0,0,0,1
26.226,48.72,10.0,400.0,13107.0,20002,939.7,0.015,0,0,0,0,1
26.222,48.6,35.0,400.0,13090.0,19973,939.696,0.015,0,0,0,0,1
26.218000000000004,48.97,36.0,400.0,13083.0,19975,939.696,0.016,0,0,0,0,1
26.214,49.62,42.0,400.0,13086.0,19976,939.704,0.016,0,0,0,0,1
26.209,50.35,30.0,400.0,13088.0,19977,939.704,0.016,0,0,0,0,1
26.205,51.0,32.0,400.0,13078.0,19969,939.707,0.016,0,0,0,0,1
26.201,51.57,37.0,400.0,13087.0,19979,939.699,0.015,0,0,0,0,1
26.192,52.51,30.0,400.0,13082.0,19979,939.707,0.015,0,0,0,0,1
26.188,52.89,23.0,400.0,13089.0,19979,939.712,0.015,0,0,0,0,1
26.183000000000003,53.23,43.0,400.0,13090.0,19973,939.708,0.015,0,0,0,0,1
26.179,53.56,33.0,400.0,13083.0,19972,939.701,0.0139999999999999,0,0,0,0,1
26.175,53.82,34.0,400.0,13085.0,19972,939.701,0.0139999999999999,0,0,0,0,1
26.17,54.07,27.0,400.0,13096.0,19983,939.704,0.0139999999999999,0,0,0,0,1
26.166,54.3,33.0,400.0,13095.0,19980,939.702,0.013,0,0,0,0,1
26.162,54.45,37.0,400.0,13089.0,19969,939.684,0.0139999999999999,0,0,0,0,1
26.157,54.64,38.0,400.0,13091.0,19981,939.694,0.013,0,0,0,0,1
26.153,54.77,33.0,400.0,13096.0,19976,939.7,0.013,0,0,0,0,1
26.148000000000003,54.9,33.0,400.0,13091.0,19974,939.702,0.013,0,0,0,0,1
26.144,55.02,36.0,400.0,13089.0,19978,939.705,0.013,0,0,0,0,1
26.14,55.14,33.0,400.0,13089.0,19976,939.712,0.013,0,0,0,0,1
26.135,55.27,28.0,400.0,13091.0,19974,939.711,0.013,0,0,0,0,1
26.131,55.36,32.0,400.0,13091.0,19977,939.708,0.012,0,0,0,0,1
26.126,55.42,25.0,400.0,13092.0,19982,939.713,0.012,0,0,0,0,1
26.117,55.61,34.0,400.0,13097.0,19981,939.727,0.012,0,0,0,0,1
26.113000000000003,55.7,24.0,400.0,13096.0,19982,939.725,0.012,0,0,0,0,1
26.108,55.78,29.0,400.0,13100.0,19980,939.721,0.012,0,0,0,0,1
26.104,55.83,12.0,400.0,13102.0,19989,939.717,0.013,0,0,0,0,1
26.099,55.93,23.0,400.0,13103.0,19988,939.723,0.013,0,0,0,0,1
26.095,55.98,18.0,400.0,13102.0,19989,939.724,0.0139999999999999,0,0,0,0,1
26.09,56.23,4.0,400.0,13121.0,20015,939.705,0.0139999999999999,0,0,0,0,1
26.086,55.79,0.0,400.0,13128.0,20023,939.705,0.0139999999999999,0,0,0,0,1
26.081,55.06,0.0,400.0,13130.0,20021,939.708,0.0139999999999999,0,0,0,0,1
26.077,54.38,0.0,400.0,13128.0,20015,939.718,0.015,0,0,0,0,1
26.072,53.67,0.0,400.0,13126.0,20023,939.713,0.016,0,0,0,0,1
26.067,53.06,2.0,400.0,13123.0,20021,939.709,0.016,0,0,0,0,1
26.063,52.52,0.0,400.0,13125.0,20023,939.717,0.016,0,0,0,0,1
26.058000000000003,52.1,0.0,400.0,13118.0,20017,939.704,0.016,0,0,0,0,1
26.054,51.71,3.0,400.0,13118.0,20011,939.719,0.016,0,0,0,0,1
26.049,51.41,0.0,400.0,13122.0,20014,939.719,0.016,0,0,0,0,1
26.044,51.1,0.0,400.0,13124.0,20016,939.709,0.016,0,0,0,0,1
26.04,50.81,0.0,400.0,13124.0,20017,939.702,0.015,0,0,0,0,1
26.035,50.58,0.0,400.0,13124.0,20019,939.708,0.015,0,0,0,0,1
26.03,50.41,2.0,400.0,13122.0,20015,939.704,0.015,0,0,0,0,1
26.026,50.22,0.0,400.0,13123.0,20027,939.707,0.015,0,0,0,0,1
26.021,50.05,0.0,400.0,13122.0,20016,939.708,0.0139999999999999,0,0,0,0,1
26.016,49.92,9.0,400.0,13115.0,20018,939.713,0.0139999999999999,0,0,0,0,1
26.012,49.81,6.0,400.0,13117.0,20012,939.716,0.0139999999999999,0,0,0,0,1
26.007,49.7,9.0,400.0,13117.0,20016,939.716,0.0139999999999999,0,0,0,0,1
26.002,49.58,8.0,400.0,13116.0,20007,939.709,0.0139999999999999,0,0,0,0,1
25.998,49.47,2.0,400.0,13122.0,20020,939.701,0.013,0,0,0,0,1
25.993,49.44,0.0,400.0,13123.0,20017,939.702,0.013,0,0,0,0,1
25.988000000000003,49.35,0.0,400.0,13120.0,20017,939.695,0.012,0,0,0,0,1
25.983,49.18,5.0,400.0,13124.0,20024,939.689,0.011,0,0,0,0,1
25.979,49.12,0.0,400.0,13121.0,20015,939.682,0.011,0,0,0,0,1
25.974,49.08,1.0,400.0,13121.0,20024,939.682,0.011,0,0,0,0,1
25.906,53.81,17.0,400.0,13114.0,20009,939.678,0.011,0,0,0,0,1
25.901,54.06,20.0,400.0,13108.0,20003,939.672,0.011,0,0,0,0,1
25.896,54.29,9.0,400.0,13106.0,20003,939.675,0.011,0,0,0,0,1
25.892,54.51,9.0,400.0,13107.0,20007,939.673,0.012,0,0,0,0,1
25.887,54.66,11.0,400.0,13105.0,20011,939.667,0.012,0,0,0,0,1
25.882,54.84,17.0,400.0,13103.0,19999,939.677,0.012,0,0,0,0,1
25.877,54.99,17.0,400.0,13112.0,20008,939.677,0.012,0,0,0,0,1
25.872,55.09,18.0,400.0,13111.0,20014,939.678,0.012,0,0,0,0,1
25.867,55.24,7.0,400.0,13114.0,20016,939.678,0.013,0,0,0,0,1
25.862,55.32,15.0,400.0,13109.0,19999,939.673,0.0139999999999999,0,0,0,0,1
25.857,55.44,12.0,400.0,13111.0,20001,939.674,0.0139999999999999,0,0,0,0,1
25.852,55.52,19.0,400.0,13106.0,19996,939.677,0.0139999999999999,0,0,0,0,1
25.847,55.6,19.0,400.0,13101.0,19994,939.666,0.0139999999999999,0,0,0,0,1
25.842,55.66,15.0,400.0,13109.0,20001,939.671,0.0139999999999999,0,0,0,0,1
25.837,55.74,27.0,400.0,13107.0,20001,939.672,0.0139999999999999,0,0,0,0,1
25.832,55.84,20.0,400.0,13107.0,19997,939.673,0.015,0,0,0,0,1
25.827,55.85,22.0,400.0,13106.0,20000,939.667,0.015,0,0,0,0,1
25.822,55.93,16.0,400.0,13108.0,20003,939.669,0.015,0,0,0,0,1
25.817,55.98,24.0,400.0,13104.0,19999,939.671,0.015,0,0,0,0,1
25.812,56.04,22.0,400.0,13110.0,19994,939.65,0.015,0,0,0,0,1
25.807,56.21,1.0,400.0,13126.0,20024,939.655,0.016,0,0,0,0,1
25.802,55.72,0.0,400.0,13131.0,20027,939.655,0.016,0,0,0,0,1
25.796,55.03,0.0,400.0,13136.0,20033,939.657,0.016,0,0,0,0,1
25.791,54.26,0.0,400.0,13127.0,20023,939.651,0.017,0,0,0,0,1
25.786,53.52,2.0,400.0,13128.0,20025,939.655,0.017,0,0,0,0,1
25.781,52.93,0.0,400.0,13126.0,20021,939.659,0.017,0,0,0,0,1
25.776,52.39,3.0,400.0,13127.0,20023,939.669,0.016,0,0,0,0,1
25.771,51.89,7.0,400.0,13127.0,20025,939.67,0.016,0,0,0,0,1
25.766,51.5,10.0,400.0,13122.0,20019,939.666,0.015,0,0,0,0,1
25.761,51.16,9.0,400.0,13120.0,20021,939.662,0.015,0,0,0,0,1
25.755,50.83,11.0,400.0,13120.0,20009,939.674,0.015,0,0,0,0,1
25.75,50.57,5.0,400.0,13122.0,20021,939.679,0.015,0,0,0,0,1
25.745,50.34,5.0,400.0,13122.0,20016,939.679,0.015,0,0,0,0,1
25.74,50.13,6.0,400.0,13117.0,20013,939.679,0.015,0,0,0,0,1
25.735,49.93,11.0,400.0,13116.0,20012,939.666,0.015,0,0,0,0,1
25.73,49.76,14.0,400.0,13113.0,20010,939.662,0.015,0,0,0,0,1
25.724,49.62,19.0,400.0,13115.0,20009,939.659,0.015,0,0,0,0,1
25.719,49.5,19.0,400.0,13117.0,20009,939.661,0.0139999999999999,0,0,0,0,1
25.714,49.35,3.0,400.0,13117.0,20012,939.654,0.0139999999999999,0,0,0,0,1
25.709,49.26,7.0,400.0,13123.0,20022,939.665,0.0139999999999999,0,0,0,0,1
25.703000000000003,49.15,12.0,400.0,13117.0,20007,939.668,0.0139999999999999,0,0,0,0,1
25.698,49.03,9.0,400.0,13114.0,20012,939.664,0.0139999999999999,0,0,0,0,1
25.693,48.96,9.0,400.0,13117.0,20006,939.668,0.0139999999999999,0,0,0,0,1
25.688,48.87,6.0,400.0,13123.0,20020,939.666,0.0139999999999999,0,0,0,0,1
25.682,48.85,20.0,400.0,13115.0,20007,939.668,0.0139999999999999,0,0,0,0,1
25.677,48.73,8.0,400.0,13116.0,20015,939.663,0.0139999999999999,0,0,0,0,1
25.672,48.7,21.0,400.0,13108.0,20005,939.66,0.0139999999999999,0,0,0,0,1
25.666,48.59,20.0,400.0,13110.0,20001,939.663,0.0139999999999999,0,0,0,0,1
25.661,48.53,13.0,400.0,13115.0,20018,939.656,0.0139999999999999,0,0,0,0,1
25.656,48.46,13.0,400.0,13119.0,20009,939.652,0.0139999999999999,0,0,0,0,1
25.651,48.31,40.0,400.0,13097.0,19987,939.662,0.015,0,0,0,0,1
25.645,48.73,51.0,400.0,13090.0,19978,939.661,0.016,0,0,0,0,1
25.64,50.04,52.0,400.0,13088.0,19964,939.659,0.017,0,0,0,0,1
25.634,50.77,45.0,400.0,13092.0,19970,939.66,0.018,0,0,0,0,1
25.629,51.29,42.0,400.0,13102.0,19979,939.654,0.018,0,0,0,0,1
25.624,51.82,42.0,400.0,13098.0,19985,939.639,0.018,0,0,0,0,1
25.618,52.6,30.0,400.0,13099.0,19990,939.651,0.018,0,0,0,0,1
25.613000000000003,52.99,21.0,400.0,13109.0,19987,939.65,0.018,0,0,0,0,1
25.608,53.33,22.0,400.0,13107.0,19991,939.655,0.018,0,0,0,0,1
25.602,53.56,16.0,400.0,13110.0,20006,939.65,0.018,0,0,0,0,1
25.597,53.81,26.0,400.0,13104.0,19997,939.656,0.017,0,0,0,0,1
25.591,54.05,32.0,400.0,13114.0,19996,939.646,0.017,0,0,0,0,1
25.586,54.23,29.0,400.0,13104.0,19992,939.643,0.016,0,0,0,0,1
25.58,54.42,27.0,400.0,13112.0,19993,939.656,0.016,0,0,0,0,1
25.575,54.58,22.0,400.0,13115.0,19997,939.653,0.016,0,0,0,0,1
25.57,54.73,25.0,400.0,13115.0,20004,939.652,0.016,0,0,0,0,1
25.564,54.87,21.0,400.0,13119.0,20006,939.641,0.016,0,0,0,0,1
25.559,55.01,7.0,400.0,13118.0,20006,939.638,0.016,0,0,0,0,1
25.553,55.14,18.0,400.0,13120.0,20011,939.635,0.016,0,0,0,0,1
25.548,55.24,19.0,400.0,13115.0,19998,939.636,0.016,0,0,0,0,1
25.542,55.34,16.0,400.0,13119.0,20004,939.624,0.016,0,0,0,0,1
25.537,55.41,11.0,400.0,13120.0,20007,939.621,0.016,0,0,0,0,1
25.531,55.52,11.0,400.0,13123.0,20010,939.61,0.016,0,0,0,0,1
25.526,55.64,11.0,400.0,13126.0,20010,939.615,0.016,0,0,0,0,1
25.52,55.71,11.0,400.0,13126.0,20013,939.623,0.015,0,0,0,0,1
25.514,55.8,3.0,400.0,13134.0,20009,939.621,0.015,0,0,0,0,1
25.509,55.9,3.0,400.0,13132.0,20018,939.615,0.0139999999999999,0,0,0,0,1
25.503,55.98,6.0,400.0,13130.0,20012,939.608,0.0139999999999999,0,0,0,0,1
25.498,56.2,0.0,400.0,13149.0,20047,939.609,0.0139999999999999,0,0,0,0,1
25.492,55.75,0.0,400.0,13157.0,20060,939.597,0.0139999999999999,0,0,0,0,1
25.487,55.08,0.0,400.0,13163.0,20060,939.59,0.013,0,0,0,0,1
25.481,54.3,0.0,400.0,13153.0,20057,939.595,0.013,0,0,0,0,1
25.475,53.63,0.0,400.0,13160.0,20057,939.6,0.013,0,0,0,0,1
25.47,53.06,0.0,400.0,13151.0,20061,939.597,0.013,0,0,0,0,1
25.464,52.52,0.0,400.0,13149.0,20052,939.607,0.013,0,0,0,0,1
25.459,52.07,0.0,400.0,13149.0,20043,939.609,0.012,0,0,0,0,1
25.453000000000003,51.68,0.0,400.0,13143.0,20046,939.609,0.012,0,0,0,0,1
25.447,51.35,0.0,400.0,13144.0,20049,939.605,0.012,0,0,0,0,1
25.442,51.05,0.0,400.0,13150.0,20055,939.608,0.012,0,0,0,0,1
25.436,50.73,0.0,400.0,13137.0,20045,939.599,0.012,0,0,0,0,1
25.43,50.51,0.0,400.0,13138.0,20036,939.595,0.012,0,0,0,0,1
25.425,50.28,0.0,400.0,13146.0,20053,939.588,0.012,0,0,0,0,1
25.419,50.11,0.0,400.0,13141.0,20040,939.586,0.012,0,0,0,0,1
25.413,49.94,0.0,400.0,13144.0,20054,939.59,0.013,0,0,0,0,1
25.407,49.81,0.0,400.0,13140.0,20044,939.596,0.013,0,0,0,0,1
